id,login,password,enabled
1,test,password,1
2,BPS1,password,1
3,BPS10,password,1
4,BPS11,password,1
5,BPS2,password,1
6,BPS3,password,1
7,BPS4,password,1
8,BPS5,password,1
9,BPS6,password,1
10,BPS7,password,1
11,BPS8,password,1
12,BPS9,password,1
13,CPPS1,password,1
14,CPPS10,password,1
15,CPPS11,password,1
16,CPPS12,password,1
17,CPPS13,password,1
18,CPPS14,password,1
19,CPPS15,password,1
20,CPPS16,password,1
21,CPPS17,password,1
22,CPPS18,password,1
23,CPPS19,password,1
24,CPPS2,password,1
25,CPPS20,password,1
26,CPPS21,password,1
27,CPPS22,password,1
28,CPPS23,password,1
29,CPPS24,password,1
30,CPPS25,password,1
31,CPPS26,password,1
32,CPPS27,password,1
33,CPPS28,password,1
34,CPPS29,password,1
35,CPPS3,password,1
36,CPPS30,password,1
37,CPPS31,password,1
38,CPPS32,password,1
39,CPPS33,password,1
40,CPPS34,password,1
41,CPPS35,password,1
42,CPPS36,password,1
43,CPPS37,password,1
44,CPPS38,password,1
45,CPPS39,password,1
46,CPPS4,password,1
47,CPPS40,password,1
48,CPPS41,password,1
49,CPPS42,password,1
50,CPPS43,password,1
51,CPPS44,password,1
52,CPPS45,password,1
53,CPPS46,password,1
54,CPPS47,password,1
55,CPPS48,password,1
56,CPPS49,password,1
57,CPPS5,password,1
58,CPPS50,password,1
59,CPPS51,password,1
60,CPPS52,password,1
61,CPPS53,password,1
62,CPPS54,password,1
63,CPPS55,password,1
64,CPPS56,password,1
65,CPPS57,password,1
66,CPPS58,password,1
67,CPPS59,password,1
68,CPPS6,password,1
69,CPPS60,password,1
70,CPPS61,password,1
71,CPPS62,password,1
72,CPPS63,password,1
73,CPPS64,password,1
74,CPPS65,password,1
75,CPPS66,password,1
76,CPPS67,password,1
77,CPPS68,password,1
78,CPPS69,password,1
79,CPPS7,password,1
80,CPPS70,password,1
81,CPPS71,password,1
82,CPPS72,password,1
83,CPPS73,password,1
84,CPPS74,password,1
85,CPPS75,password,1
86,CPPS76,password,1
87,CPPS77,password,1
88,CPPS78,password,1
89,CPPS79,password,1
90,CPPS8,password,1
91,CPPS80,password,1
92,CPPS81,password,1
93,CPPS82,password,1
94,CPPS83,password,1
95,CPPS84,password,1
96,CPPS85,password,1
97,CPPS86,password,1
98,CPPS87,password,1
99,CPPS88,password,1
100,CPPS9,password,1
101,CSC1,password,1
102,CSC2,password,1
103,CSC3,password,1
104,CSC4,password,1
105,CSC5,password,1
106,CSC6,password,1
107,KHPS1,password,1
108,KHPS2,password,1
109,KHPS3,password,1
110,KHPS4,password,1
111,KHPS5,password,1
112,KHPS6,password,1
113,RPS1,password,1
114,RPS10,password,1
115,RPS11,password,1
116,RPS12,password,1
117,RPS13,password,1
118,RPS14,password,1
119,RPS15,password,1
120,RPS2,password,1
121,RPS3,password,1
122,RPS4,password,1
123,RPS5,password,1
124,RPS6,password,1
125,RPS7,password,1
126,RPS8,password,1
127,RPS9,password,1
128,RSC1,password,1
129,RSC10,password,1
130,RSC11,password,1
131,RSC12,password,1
132,RSC13,password,1
133,RSC14,password,1
134,RSC15,password,1
135,RSC16,password,1
136,RSC17,password,1
137,RSC18,password,1
138,RSC2,password,1
139,RSC3,password,1
140,RSC4,password,1
141,RSC5,password,1
142,RSC6,password,1
143,RSC7,password,1
144,RSC8,password,1
145,RSC9,password,1
146,RyePS1,password,1
147,RyePS10,password,1
148,RyePS11,password,1
149,RyePS12,password,1
150,RyePS2,password,1
151,RyePS3,password,1
152,RyePS4,password,1
153,RyePS5,password,1
154,RyePS6,password,1
155,RyePS7,password,1
156,RyePS8,password,1
157,RyePS9,password,1
158,SB1,password,1
159,SB2,password,1
160,SB3,password,1
161,SB4,password,1
162,SB5,password,1
163,SB6,password,1
164,SPS1,password,1
165,SPS10,password,1
166,SPS2,password,1
167,SPS3,password,1
168,SPS4,password,1
169,SPS5A,password,1
170,SPS5B,password,1
171,SPS6,password,1
172,SPS7,password,1
173,SPS8A,password,1
174,SPS8B,password,1
175,SPS9,password,1
176,TRPS1,password,1
177,TRPS10,password,1
178,TRPS11,password,1
179,TRPS12,password,1
180,TRPS13,password,1
181,TRPS14,password,1
182,TRPS15,password,1
183,TRPS2,password,1
184,TRPS3,password,1
185,TRPS4,password,1
186,TRPS5,password,1
187,TRPS6,password,1
188,TRPS7,password,1
189,TRPS8,password,1
190,TRPS9,password,1
191,RyePS1,password,1
192,KHPS2,password,1
